측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,time
111123,종로구,2021010101,0.002,0.5,0.022,0.016,24.0,14.0,2021-01-01 01:00:00
111123,종로구,2021010102,0.002,0.6,0.018,0.02,25.0,14.0,2021-01-01 02:00:00
111123,종로구,2021010103,0.002,0.6,0.013,0.025,27.0,16.0,2021-01-01 03:00:00
111123,종로구,2021010104,0.003,0.6,0.011,0.027,23.0,13.0,2021-01-01 04:00:00
111123,종로구,2021010105,0.003,0.6,0.008,0.032,24.0,14.0,2021-01-01 05:00:00
111123,종로구,2021010106,0.002,0.7,0.003,0.037,26.0,16.0,2021-01-01 06:00:00
111123,종로구,2021010107,0.003,0.7,0.002,0.039,27.0,18.0,2021-01-01 07:00:00
111123,종로구,2021010108,0.003,0.8,0.002,0.041,30.0,18.0,2021-01-01 08:00:00
111123,종로구,2021010109,0.003,0.8,0.004,0.04,33.0,19.0,2021-01-01 09:00:00
111123,종로구,2021010110,0.004,0.9,0.007,0.039,35.0,19.0,2021-01-01 10:00:00
111123,종로구,2021010111,0.004,0.8,0.01,0.036,44.0,27.0,2021-01-01 11:00:00
111123,종로구,2021010112,0.002,0.7,0.016,0.029,42.0,26.0,2021-01-01 12:00:00
111123,종로구,2021010113,0.004,0.5,0.019,0.024,36.0,20.0,2021-01-01 13:00:00
111123,종로구,2021010114,0.003,0.5,0.024,0.022,29.0,15.0,2021-01-01 14:00:00
111123,종로구,2021010115,0.004,0.4,0.027,0.018,30.0,18.0,2021-01-01 15:00:00
111123,종로구,2021010116,0.004,0.4,0.03,0.015,33.0,19.0,2021-01-01 16:00:00
111123,종로구,2021010117,0.003,0.4,0.031,0.014,26.0,16.0,2021-01-01 17:00:00
111123,종로구,2021010118,0.002,0.5,0.027,0.017,28.0,16.0,2021-01-01 18:00:00
111123,종로구,2021010119,0.003,0.5,0.022,0.021,27.0,18.0,2021-01-01 19:00:00
111123,종로구,2021010120,0.003,0.5,0.019,0.024,27.0,17.0,2021-01-01 20:00:00
111123,종로구,2021010121,0.003,0.5,0.02,0.023,27.0,15.0,2021-01-01 21:00:00
111123,종로구,2021010122,0.003,0.5,0.024,0.02,26.0,14.0,2021-01-01 22:00:00
111123,종로구,2021010123,0.004,0.5,0.024,0.017,28.0,16.0,2021-01-01 23:00:00
111123,종로구,2021010124,0.003,0.5,0.026,0.014,34.0,19.0,2021-01-02 00:00:00
111123,종로구,2021010201,0.003,0.4,0.032,0.009,32.0,15.0,2021-01-02 01:00:00
111123,종로구,2021010202,0.003,0.4,0.031,0.01,25.0,9.0,2021-01-02 02:00:00
111123,종로구,2021010203,0.003,0.4,0.017,0.022,29.0,12.0,2021-01-02 03:00:00
111123,종로구,2021010204,0.002,0.4,0.027,0.014,24.0,13.0,2021-01-02 04:00:00
111123,종로구,2021010205,0.003,0.4,0.031,0.01,20.0,8.0,2021-01-02 05:00:00
111123,종로구,2021010206,0.002,0.4,0.026,0.014,19.0,7.0,2021-01-02 06:00:00
111123,종로구,2021010207,0.003,0.5,0.019,0.022,21.0,8.0,2021-01-02 07:00:00
111123,종로구,2021010208,0.003,0.4,0.018,0.023,19.0,9.0,2021-01-02 08:00:00
111123,종로구,2021010209,0.003,0.5,0.015,0.026,21.0,8.0,2021-01-02 09:00:00
111123,종로구,2021010210,0.002,0.4,0.024,0.017,18.0,6.0,2021-01-02 10:00:00
111123,종로구,2021010211,0.003,0.4,0.028,0.013,25.0,12.0,2021-01-02 11:00:00
111123,종로구,2021010212,0.003,0.4,0.027,0.015,22.0,12.0,2021-01-02 12:00:00
111123,종로구,2021010213,0.003,0.4,0.03,0.013,25.0,13.0,2021-01-02 13:00:00
111123,종로구,2021010214,0.004,0.4,0.033,0.01,29.0,12.0,2021-01-02 14:00:00
111123,종로구,2021010215,0.003,0.4,0.036,0.008,43.0,18.0,2021-01-02 15:00:00
111123,종로구,2021010216,0.004,0.4,0.035,0.009,44.0,16.0,2021-01-02 16:00:00
111123,종로구,2021010217,0.004,0.4,0.032,0.011,48.0,12.0,2021-01-02 17:00:00
111123,종로구,2021010218,0.003,0.4,0.03,0.013,57.0,17.0,2021-01-02 18:00:00
