,url_len,url_num_hyphens_dom,url_path_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_port,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),Result_v1,hyphens_ratio,total_tag
0,23.0,0.0,8.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,4.260332601,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1,0.0,9.0
1,75.0,0.0,58.0,17.0,17.0,6.0,0.0,0.0,0.0,0.0,4.636106694,0.0,0.0,18.0,0.0,0.0,20.0,1.0,1.0,0.0,21.0,1,0.0,61.0
2,20.0,0.0,4.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,3.708966083,0.0,1.0,33.0,0.0,0.0,101.0,1.0,1.0,3.0,70.0,1,0.0,210.0
3,27.0,0.0,13.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,4.02559186,0.0,0.0,15.0,0.0,0.0,151.0,1.0,1.0,1.0,55.0,1,0.0,224.0
4,39.0,2.0,12.0,27.0,27.0,2.0,0.0,0.0,0.0,0.0,4.631832608,0.0,0.0,10.0,0.0,0.0,332.0,1.0,1.0,0.0,321.0,1,0.05128205128205128,665.0
5,18.0,0.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.94346519,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,18.0,1,0.0,29.0
6,49.0,0.0,30.0,19.0,19.0,4.0,0.0,0.0,0.0,0.0,4.251365138,0.0,0.0,8.0,0.0,0.0,19.0,1.0,1.0,1.0,4.0,-1,0.0,34.0
7,25.0,0.0,0.0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,3.890319531,0.0,0.0,22.0,0.0,0.0,333.0,1.0,1.0,1.0,155.0,1,0.0,513.0
8,39.0,0.0,22.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.417173848,0.0,0.0,17.0,0.0,0.0,32.0,1.0,1.0,2.0,29.0,1,0.0,82.0
9,40.0,0.0,1.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,4.772055209,0.0,0.0,3.0,0.0,0.0,18.0,1.0,1.0,0.0,2.0,-1,0.0,25.0
10,33.0,1.0,19.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.222690419,0.0,3.0,36.0,0.0,0.0,168.0,1.0,1.0,5.0,214.0,-1,0.030303030303030304,428.0
11,33.0,0.0,20.0,13.0,13.0,3.0,0.0,0.0,0.0,0.0,4.196439345,0.0,0.0,8.0,0.0,0.0,25.0,1.0,1.0,0.0,73.0,1,0.0,108.0
12,136.0,0.0,91.0,23.0,23.0,3.0,1.0,21.0,1.0,0.0,4.701764249,0.0,0.0,13.0,0.0,0.0,47.0,1.0,1.0,3.0,31.0,-1,0.0,96.0
13,20.0,0.0,0.0,20.0,20.0,2.0,0.0,0.0,0.0,0.0,3.940759833,0.0,0.0,13.0,0.0,0.0,325.0,1.0,1.0,1.0,76.0,1,0.0,417.0
14,51.0,0.0,31.0,20.0,20.0,4.0,0.0,0.0,0.0,0.0,4.577555779,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,1,0.0,9.0
15,37.0,0.0,25.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,4.743300369,0.0,0.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,1,0.0,12.0
16,68.0,0.0,41.0,27.0,27.0,1.0,1.0,0.0,0.0,0.0,4.14464936,0.0,0.0,2.0,0.0,0.0,50.0,1.0,1.0,1.0,8.0,-1,0.0,63.0
17,43.0,0.0,23.0,20.0,20.0,1.0,0.0,0.0,0.0,0.0,4.166293108,0.0,0.0,18.0,0.0,0.0,104.0,1.0,1.0,9.0,163.0,-1,0.0,296.0
18,38.0,0.0,28.0,10.0,10.0,2.0,1.0,0.0,0.0,0.0,4.152638374,0.0,0.0,12.0,0.0,0.0,5511.0,1.0,1.0,1.0,13298.0,1,0.0,18824.0
19,18.0,0.0,0.0,18.0,15.0,3.0,0.0,0.0,0.0,1.0,3.243074189,0.0,0.0,5.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1,0.0,17.0
20,35.0,0.0,25.0,10.0,10.0,4.0,0.0,0.0,0.0,1.0,4.023652102,0.0,1.0,24.0,0.0,0.0,74.0,1.0,1.0,0.0,111.0,-1,0.0,212.0
21,73.0,0.0,59.0,14.0,14.0,4.0,0.0,0.0,0.0,0.0,4.588574464,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1,0.0,5.0
22,14.0,0.0,0.0,14.0,14.0,3.0,0.0,0.0,0.0,1.0,3.177566232,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0.0,4.0
23,30.0,0.0,13.0,17.0,17.0,2.0,1.0,0.0,0.0,0.0,4.12873475,0.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,0.0,19.0
24,89.0,1.0,13.0,34.0,34.0,3.0,0.0,41.0,1.0,0.0,4.8862681,0.0,0.0,1.0,0.0,0.0,88.0,1.0,1.0,1.0,26.0,-1,0.011235955056179775,118.0
25,34.0,0.0,10.0,24.0,24.0,3.0,0.0,0.0,0.0,0.0,4.361740934,0.0,0.0,2.0,0.0,0.0,41.0,1.0,1.0,1.0,16.0,-1,0.0,62.0
26,127.0,0.0,111.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,4.837054404,0.0,0.0,6.0,0.0,0.0,267.0,1.0,1.0,1.0,163.0,1,0.0,439.0
27,25.0,0.0,9.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,3.866729297,0.0,0.0,22.0,0.0,0.0,21.0,1.0,1.0,1.0,24.0,-1,0.0,70.0
28,113.0,0.0,44.0,32.0,32.0,4.0,2.0,36.0,2.0,0.0,5.190170808,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,-1,0.0,5.0
29,65.0,0.0,49.0,16.0,16.0,2.0,1.0,0.0,0.0,0.0,4.232425614,0.0,0.0,16.0,0.0,0.0,17.0,1.0,1.0,0.0,12.0,-1,0.0,47.0
