,url_len,url_num_hyphens_dom,url_path_len,url_domain_len,url_hostname_len,url_num_dots,url_num_underscores,url_query_len,url_num_query_para,url_ip_present,url_entropy,url_chinese_present,url_port,html_num_tags('iframe'),html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('div'),html_num_tags('head'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),html_num_tags('applet'),Result_v1
0,23.0,0.0,8.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,4.260332601,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,malicious
1,75.0,0.0,58.0,17.0,17.0,6.0,0.0,0.0,0.0,0.0,4.636106694,0.0,0.0,0.0,18.0,0.0,0.0,20.0,1.0,1.0,0.0,21.0,0.0,benign
2,20.0,0.0,4.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,3.708966083,0.0,0.0,1.0,33.0,0.0,0.0,101.0,1.0,1.0,3.0,70.0,0.0,benign
3,27.0,0.0,13.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,4.02559186,0.0,0.0,0.0,15.0,0.0,0.0,151.0,1.0,1.0,1.0,55.0,0.0,benign
4,39.0,2.0,12.0,27.0,27.0,2.0,0.0,0.0,0.0,0.0,4.631832608,0.0,0.0,0.0,10.0,0.0,0.0,332.0,1.0,1.0,0.0,321.0,0.0,benign
5,18.0,0.0,0.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,3.94346519,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,18.0,0.0,benign
6,49.0,0.0,30.0,19.0,19.0,4.0,0.0,0.0,0.0,0.0,4.251365138,0.0,0.0,0.0,8.0,0.0,0.0,19.0,1.0,1.0,1.0,4.0,0.0,malicious
7,25.0,0.0,0.0,25.0,25.0,2.0,0.0,0.0,0.0,0.0,3.890319531,0.0,0.0,0.0,22.0,0.0,0.0,333.0,1.0,1.0,1.0,155.0,0.0,benign
8,39.0,0.0,22.0,17.0,17.0,3.0,0.0,0.0,0.0,0.0,4.417173848,0.0,0.0,0.0,17.0,0.0,0.0,32.0,1.0,1.0,2.0,29.0,0.0,benign
9,40.0,0.0,1.0,18.0,18.0,2.0,0.0,0.0,0.0,0.0,4.772055209,0.0,0.0,0.0,3.0,0.0,0.0,18.0,1.0,1.0,0.0,2.0,0.0,malicious
10,33.0,1.0,19.0,14.0,14.0,2.0,0.0,0.0,0.0,0.0,4.222690419,0.0,0.0,3.0,36.0,0.0,0.0,168.0,1.0,1.0,5.0,214.0,0.0,malicious
11,33.0,0.0,20.0,13.0,13.0,3.0,0.0,0.0,0.0,0.0,4.196439345,0.0,0.0,0.0,8.0,0.0,0.0,25.0,1.0,1.0,0.0,73.0,0.0,benign
